,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,results_avg_edit,results_avg_jacc,has_results,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_domain_count_NewsCarousel,results_full_domain_frac_procon.org,results_full_domain_appears_procon.org,results_full_domain_rank_procon.org,results_full_domain_count_procon.org,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_count_wikipedia.org,results_full_domain_frac_cnn.com,results_full_domain_appears_cnn.com,results_full_domain_rank_cnn.com,results_full_domain_count_cnn.com,results_full_domain_frac_washingtonpost.com,results_full_domain_appears_washingtonpost.com,results_full_domain_rank_washingtonpost.com,results_full_domain_count_washingtonpost.com,results_full_snippet_mean_polarity,results_full_title_mean_polarity,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_domain_frac_procon.org,results_top_three_domain_appears_procon.org,results_top_three_snippet_mean_polarity,results_top_three_title_mean_polarity,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_top_snippet_mean_polarity,results_top_title_mean_polarity,results_full_domain_frac_MapsLocations,results_full_domain_appears_MapsLocations,results_full_domain_rank_MapsLocations,results_full_domain_count_MapsLocations,results_top_three_domain_frac_MapsLocations,results_top_three_domain_appears_MapsLocations,results_top_domain_frac_MapsLocations,results_top_domain_appears_MapsLocations,results_full_domain_frac_nytimes.com,results_full_domain_appears_nytimes.com,results_full_domain_rank_nytimes.com,results_full_domain_count_nytimes.com,results_full_domain_frac_theatlantic.com,results_full_domain_appears_theatlantic.com,results_full_domain_rank_theatlantic.com,results_full_domain_count_theatlantic.com,results_full_domain_frac_newsweek.com,results_full_domain_appears_newsweek.com,results_full_domain_rank_newsweek.com,results_full_domain_count_newsweek.com,results_full_domain_frac_people also ask,results_full_domain_appears_people also ask,results_full_domain_rank_people also ask,results_full_domain_count_people also ask,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_domain_count_twitter.com,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_procon.org,results_top_domain_appears_procon.org,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_domain_count_UserTweetCarousel,results_top_three_domain_frac_people also ask,results_top_three_domain_appears_people also ask,results_full_domain_frac_foxnews.com,results_full_domain_appears_foxnews.com,results_full_domain_rank_foxnews.com,results_full_domain_count_foxnews.com,results_full_domain_frac_go.com,results_full_domain_appears_go.com,results_full_domain_rank_go.com,results_full_domain_count_go.com,results_top_three_domain_frac_foxnews.com,results_top_three_domain_appears_foxnews.com,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_full_domain_frac_latimes.com,results_full_domain_appears_latimes.com,results_full_domain_rank_latimes.com,results_full_domain_count_latimes.com,results_top_three_domain_frac_go.com,results_top_three_domain_appears_go.com,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com,results_top_domain_frac_go.com,results_top_domain_appears_go.com,results_top_domain_frac_foxnews.com,results_top_domain_appears_foxnews.com,results_top_three_domain_frac_cnn.com,results_top_three_domain_appears_cnn.com,results_top_three_domain_frac_nytimes.com,results_top_three_domain_appears_nytimes.com,results_top_three_domain_frac_latimes.com,results_top_three_domain_appears_latimes.com,results_top_domain_frac_cnn.com,results_top_domain_appears_cnn.com,results_top_domain_frac_nytimes.com,results_top_domain_appears_nytimes.com,results_full_domain_frac_espn.com,results_full_domain_appears_espn.com,results_full_domain_rank_espn.com,results_full_domain_count_espn.com,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_domain_count_facebook.com,results_top_three_domain_frac_espn.com,results_top_three_domain_appears_espn.com,results_top_three_domain_frac_washingtonpost.com,results_top_three_domain_appears_washingtonpost.com,results_top_domain_frac_washingtonpost.com,results_top_domain_appears_washingtonpost.com,results_full_domain_frac_vanityfair.com,results_full_domain_appears_vanityfair.com,results_full_domain_rank_vanityfair.com,results_full_domain_count_vanityfair.com,results_top_three_domain_frac_vanityfair.com,results_top_three_domain_appears_vanityfair.com,results_full_domain_frac_google.com,results_full_domain_appears_google.com,results_full_domain_rank_google.com,results_full_domain_count_google.com,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_full_domain_frac_mcdonalds.com,results_full_domain_appears_mcdonalds.com,results_full_domain_rank_mcdonalds.com,results_full_domain_count_mcdonalds.com,results_top_three_domain_frac_mcdonalds.com,results_top_three_domain_appears_mcdonalds.com,results_top_domain_frac_mcdonalds.com,results_top_domain_appears_mcdonalds.com,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com
count,760.0,760,760,760,760.0,760,760,760,760,760,760.0,760,760.0,760.0,760.0,760,760.0,760,760,760.0,760.0,760.0,760.0,584.0,584.0,584.0,584.0,140.0,140.0,140.0,140.0,624.0,624.0,624.0,624.0,181.0,181.0,181.0,181.0,130.0,130.0,130.0,130.0,760.0,760.0,510.0,510.0,71.0,71.0,760.0,760.0,216.0,216.0,760.0,760.0,210.0,210.0,210.0,210.0,189.0,189.0,2.0,2.0,348.0,348.0,348.0,348.0,209.0,209.0,209.0,209.0,90.0,90.0,90.0,90.0,199.0,199.0,199.0,199.0,345.0,345.0,345.0,345.0,266.0,266.0,21.0,21.0,197.0,197.0,197.0,197.0,81.0,81.0,111.0,111.0,111.0,111.0,116.0,116.0,116.0,116.0,62.0,62.0,100.0,100.0,94.0,94.0,94.0,94.0,60.0,60.0,223.0,223.0,40.0,40.0,22.0,22.0,40.0,40.0,60.0,60.0,36.0,36.0,20.0,20.0,40.0,40.0,55.0,55.0,55.0,55.0,160.0,160.0,160.0,160.0,20.0,20.0,40.0,40.0,20.0,20.0,80.0,80.0,80.0,80.0,20.0,20.0,76.0,76.0,76.0,76.0,112.0,112.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,4.0,4.0
unique,,1,1,1,,760,1,20,20,20,,3,,,,537,,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,successful,google,selenium,,2018-01-04 15:57:59.193545,localhost,39.005441,-77.933543,"Russell, Kansas",,popular,,,,"About 13,800,000 results (0.47 seconds) ",,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,760,760,760,,1,760,38,38,38,,360,,,,5,,20,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,380.5,,,,1.0,,,,,,0.0,,3.5,52181.15,0.44255216500569916,,17.692105263157895,,,0.0,3.037673130193883,0.7936909197207774,1.0,0.06603996654054463,1.0,2.203767123287671,1.0,0.09273940971309373,1.0,4.164285714285715,1.2142857142857142,0.08576563602183608,1.0,4.637019230769231,1.1730769230769231,0.07355854613735663,1.0,7.361878453038674,1.1104972375690607,0.10225205759946188,1.0,8.157051282051283,1.5615384615384615,0.1315980481744129,-0.032647861981951014,0.15751633986928168,1.0,0.2816901408450703,1.0,0.17958767543859633,-0.018402192982456215,0.25,1.0,0.18197013157894745,-0.011350131578947478,0.07389224705954023,1.0,2.7285714285714286,1.0,0.188712522045856,1.0,1.0,1.0,0.09432614475584486,1.0,7.847701149425287,1.4310344827586208,0.06553673794385859,1.0,10.320574162679426,1.0,0.07659544159544153,1.0,10.016666666666667,1.1,0.06883863695048106,1.0,7.71859296482412,1.0,0.15103910959443342,1.0,3.35,2.4231884057971014,0.28070175438596506,1.0,1.0,1.0,0.06249458876421352,1.0,3.3197969543147208,1.0,0.24897119341563761,1.0,0.13327916342622223,1.0,4.866366366366363,1.864864864864865,0.07468728870858685,1.0,5.5,1.1724137931034482,0.2741935483870967,1.0,1.0,1.0,0.07978236302704382,1.0,7.952127659574468,1.2127659574468086,0.16666666666666663,1.0,0.331091180866966,1.0,0.25,1.0,0.4772727272727273,1.0,0.22222222222222196,1.0,0.20370370370370344,1.0,0.1666666666666667,1.0,0.25,1.0,0.375,1.0,0.15325380501851085,1.0,5.8090909090909095,2.4363636363636365,0.06695934223048183,1.0,6.2375,1.0,0.2333333333333334,1.0,0.16666666666666674,1.0,0.25,1.0,0.08239850427350424,1.0,8.175,1.25,0.1666666666666666,1.0,0.07436010519408347,1.0,7.0,1.0,0.14484126984126952,1.0,0.27747710622710625,1.0,4.572619047619048,4.3,0.1666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0
std,219.5373924111031,,,,0.0,,,,,,0.0,,2.5016463617194344,14343.63725005388,0.2055149192373664,,3.9629297781215755,,,0.0,2.4268904891727376,0.18427915247005142,0.0,0.00988993933354443,0.0,1.6246132735911554,0.0,0.037108671121127604,0.0,2.486975321291969,0.41179925062587613,0.03701550655570587,0.0,2.347272197016101,0.3786172618773211,0.023159314903976158,0.0,4.185322874393561,0.31437818033397796,0.04557400070307413,0.0,3.028994870983379,0.7260794813503021,0.351199560903814,0.23024920369441562,0.020626614800382734,0.0,0.07762112549835042,0.0,0.4285152520199695,0.24984942916632075,0.0,0.0,0.5056289443295892,0.30974448703142415,0.016217318213822763,0.0,1.2051098769189932,0.0,0.05661491391070113,0.0,0.0,0.0,0.051992554731618845,0.0,2.6124166828513746,0.7692670780842179,0.0059550801854137865,0.0,0.9341839587320596,0.0,0.01713597887954495,0.0,2.273998112516881,0.30168068541929555,0.013570566503007673,0.0,4.639662782738198,0.0,0.058156215893338144,0.0,1.005508086306576,0.985674265670314,0.15098338872162884,0.0,0.0,0.0,0.00801661651015464,0.0,0.6656774663261091,0.0,0.08384615868645758,0.0,0.07435644000371576,0.0,2.837503154434218,1.0223545594405326,0.023264475018849283,0.0,3.861740990571593,0.37937848645120764,0.15709328668890246,0.0,0.0,0.0,0.028096018779845085,0.0,2.932089009907856,0.4114579487138702,2.798980403504518e-17,0.0,0.13186107272220318,0.0,0.0,0.0,0.07356123579206246,0.0,0.11252659634262963,0.0,0.09522314772246707,0.0,5.629858277757082e-17,0.0,0.0,0.0,0.12659242088545833,0.0,0.0743323588719784,0.0,1.490683751550961,1.2585064099313847,0.00808986005522103,0.0,1.9889237315852248,0.0,0.034199278402838464,0.0,8.432749224604462e-17,0.0,0.0,0.0,0.030750157782290153,0.0,0.9246963237405241,0.4357446703305951,5.695323946259567e-17,0.0,0.013969388761604994,0.0,2.0132891827388666,0.0,0.027254472997323843,0.0,0.13421161909161342,0.0,1.624355059434995,2.0287408591745297,5.695323946259567e-17,0.0,0.0,0.0,0.0,0.0
min,1.0,,,,1.0,,,,,,0.0,,1.0,35035.0,0.127913279133,,8.0,,,0.0,0.0,0.2616228070175438,1.0,0.05,1.0,1.0,1.0,0.05263157894736842,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.05555555555555555,1.0,1.5,1.0,0.05263157894736842,1.0,3.0,1.0,-0.9144000000000002,-0.7459416666666666,0.1111111111111111,1.0,0.16666666666666666,1.0,-0.9348666666666667,-0.6389333333333334,0.25,1.0,-0.9118,-0.8481,0.05263157894736842,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.05555555555555555,1.0,6.0,1.0,0.0625,1.0,5.0,1.0,0.05,1.0,2.0,1.0,0.0625,1.0,2.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.05,1.0,2.0,1.0,0.16666666666666666,1.0,0.058823529411764705,1.0,1.0,1.0,0.058823529411764705,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,2.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.25,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.16666666666666666,1.0,0.25,1.0,0.25,1.0,0.05,1.0,4.25,1.0,0.05,1.0,3.0,1.0,0.2222222222222222,1.0,0.16666666666666666,1.0,0.25,1.0,0.05555555555555555,1.0,6.0,1.0,0.16666666666666666,1.0,0.058823529411764705,1.0,4.0,1.0,0.1111111111111111,1.0,0.07692307692307693,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0
25%,190.75,,,,1.0,,,,,,0.0,,1.0,40466.5,0.27331839578850003,,15.0,,,0.0,0.7894736842105263,0.6814992025518342,1.0,0.0625,1.0,1.0,1.0,0.0625,1.0,2.0,1.0,0.0625,1.0,3.0,1.0,0.0625,1.0,4.0,1.0,0.0625,1.0,6.5,1.0,-0.025745454545454557,-0.08012222222222222,0.16666666666666666,1.0,0.16666666666666666,1.0,-0.09486666666666667,0.0,0.25,1.0,0.0,0.0,0.0625,1.0,2.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,7.0,1.0,0.0625,1.0,10.0,1.0,0.06666666666666667,1.0,8.0,1.0,0.058823529411764705,1.0,3.0,1.0,0.07692307692307693,1.0,3.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.05555555555555555,1.0,3.0,1.0,0.16666666666666666,1.0,0.07142857142857142,1.0,3.0,1.0,0.0625,1.0,2.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,7.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.5,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.16666666666666666,1.0,0.25,1.0,0.25,1.0,0.06346153846153846,1.0,4.25,1.0,0.0625,1.0,5.0,1.0,0.2222222222222222,1.0,0.16666666666666666,1.0,0.25,1.0,0.06076388888888889,1.0,7.0,1.0,0.16666666666666666,1.0,0.0625,1.0,5.0,1.0,0.1111111111111111,1.0,0.17395833333333333,1.0,3.25,2.75,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0
50%,380.5,,,,1.0,,,,,,0.0,,3.5,51218.0,0.44346743752749995,,17.0,,,0.0,2.526315789473684,0.8421052631578949,1.0,0.0625,1.0,2.0,1.0,0.08391608391608392,1.0,3.0,1.0,0.07142857142857142,1.0,4.0,1.0,0.06666666666666667,1.0,8.0,1.0,0.09090909090909091,1.0,9.0,1.0,0.18865,0.0,0.16666666666666666,1.0,0.3333333333333333,1.0,0.27086666666666664,0.0,0.25,1.0,0.128,0.0,0.07142857142857142,1.0,2.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.06666666666666667,1.0,8.0,1.0,0.06666666666666667,1.0,10.0,1.0,0.07692307692307693,1.0,9.0,1.0,0.0625,1.0,10.0,1.0,0.17647058823529413,1.0,3.0,3.0,0.3333333333333333,1.0,1.0,1.0,0.0625,1.0,3.0,1.0,0.16666666666666666,1.0,0.09090909090909091,1.0,5.0,1.0,0.06666666666666667,1.0,4.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.06666666666666667,1.0,8.0,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,0.25,1.0,0.5,1.0,0.2222222222222222,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.375,1.0,0.15384615384615385,1.0,6.0,2.0,0.06666666666666667,1.0,6.0,1.0,0.2222222222222222,1.0,0.16666666666666666,1.0,0.25,1.0,0.06971153846153846,1.0,8.5,1.0,0.16666666666666666,1.0,0.07142857142857142,1.0,6.0,1.0,0.16666666666666666,1.0,0.29464285714285715,1.0,4.857142857142858,4.5,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0
75%,570.25,,,,1.0,,,,,,0.0,,6.0,56942.25,0.61244299508825,,21.0,,,0.0,4.947368421052632,0.9493734335839599,1.0,0.06666666666666667,1.0,2.0,1.0,0.1,1.0,5.625,1.0,0.1,1.0,6.0,1.0,0.06666666666666667,1.0,12.0,1.0,0.13333333333333333,1.0,10.0,2.0,0.35000749999999997,0.061852083333333335,0.16666666666666666,1.0,0.3333333333333333,1.0,0.48439999999999994,0.10606666666666666,0.25,1.0,0.6486,0.0,0.07692307692307693,1.0,3.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.125,1.0,9.0,2.0,0.06666666666666667,1.0,11.0,1.0,0.07692307692307693,1.0,12.0,1.0,0.07692307692307693,1.0,12.0,1.0,0.2,1.0,4.0,3.0,0.3333333333333333,1.0,1.0,1.0,0.06666666666666667,1.0,4.0,1.0,0.3333333333333333,1.0,0.2,1.0,7.0,3.0,0.06666666666666667,1.0,9.0,1.0,0.5,1.0,1.0,1.0,0.07023809523809524,1.0,9.0,1.0,0.16666666666666666,1.0,0.5,1.0,0.25,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.25,1.0,0.5,1.0,0.23529411764705882,1.0,6.5,4.0,0.07692307692307693,1.0,7.0,1.0,0.2222222222222222,1.0,0.16666666666666666,1.0,0.25,1.0,0.09583333333333333,1.0,9.0,1.25,0.16666666666666666,1.0,0.07692307692307693,1.0,9.0,1.0,0.16666666666666666,1.0,0.375,1.0,6.0,6.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0
max,760.0,,,,1.0,,,,,,0.0,,6.0,96310.0,0.733480189578,,29.0,,,0.0,9.052631578947368,1.0,1.0,0.1,1.0,10.0,1.0,0.18181818181818182,1.0,10.0,2.0,0.2857142857142857,1.0,11.0,2.0,0.13333333333333333,1.0,13.0,2.0,0.26666666666666666,1.0,14.0,4.0,0.7118000000000001,0.6234727272727274,0.16666666666666666,1.0,0.3333333333333333,1.0,0.8644666666666666,0.7506,0.25,1.0,0.93,0.7506,0.125,1.0,7.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.26666666666666666,1.0,14.0,4.0,0.08333333333333333,1.0,13.0,1.0,0.125,1.0,13.0,2.0,0.09090909090909091,1.0,14.0,1.0,0.25,1.0,10.0,4.0,0.6666666666666666,1.0,1.0,1.0,0.08333333333333333,1.0,4.0,1.0,0.3333333333333333,1.0,0.3076923076923077,1.0,12.0,4.0,0.125,1.0,12.0,2.0,0.5,1.0,1.0,1.0,0.13333333333333333,1.0,12.0,2.0,0.16666666666666666,1.0,0.5,1.0,0.25,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.25,1.0,0.5,1.0,0.23529411764705882,1.0,10.0,4.0,0.08333333333333333,1.0,13.0,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.25,1.0,0.13333333333333333,1.0,9.0,2.0,0.16666666666666666,1.0,0.1,1.0,11.0,1.0,0.16666666666666666,1.0,0.5,1.0,6.571428571428571,7.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0
